01WR7E2ZMCD216522,SUV,RWD,1
06XZOKN8UAY309163,SUV,FWD,3
0BT52YYB1L8670257,SUV,FWD,3
0VWWXBNXE6N897485,SUV,AWD,1
1D5LRLSWAOI565071,SUV,RWD,4
20DS0RGMDXW132327,SUV,4WD,1
280ECEXOEHP375800,SUV,AWD,1
2UL7JBUREY0725461,SUV,FWD,1
2ZGQSMRVMSR266772,SUV,4WD,3
3A3OOF2JN5W951740,SUV,AWD,4
3J73EOBU1AT381615,SUV,RWD,3
3LSIXEX21UG135253,SUV,RWD,3
40ZV2CDNP4T119176,SUV,RWD,2
42RZCIYGO3E765775,SUV,AWD,4
4AO3LKJSBVK865142,SUV,4WD,1
4J0U15MIVG3154225,SUV,RWD,4
4U6EIHP6IVH261573,SUV,FWD,1
52RI0SIMIEO259872,SUV,AWD,3
55BNEOM74SD548903,SUV,FWD,2
5FJS67P7IPP595990,SUV,RWD,2
5NBXLBXN4X5470477,SUV,AWD,2
5PIT4XQ2IDT961455,SUV,AWD,2
5UQZITKQTP7241158,SUV,4WD,1
5W5DTMZTE7I312231,SUV,AWD,2
60A35P7VZQO153588,SUV,RWD,3
62EPDI1EYYJ402081,SUV,4WD,4
6N4TXWYA8PC030787,SUV,FWD,2
6OAIXJI3HM8002365,SUV,4WD,1
6OGX85SZXHN770887,SUV,RWD,1
6ONV5QC8SUL616218,SUV,RWD,2
7KAYIOOSAYZ172761,SUV,AWD,4
7PL0G4ZAASO991142,SUV,4WD,1
88PR6O51FFE411202,SUV,FWD,2
88WPSV7V73S064896,SUV,RWD,3
8DPBPQ225LD772299,SUV,AWD,2
8G3LUP7YDIR245248,SUV,FWD,2
8RS6MDUB5YB272372,SUV,AWD,1
AAVNFB47ECV285025,SUV,4WD,4
B6MT5EQQSFX854507,SUV,4WD,4
BEY7LC1EAWE388564,SUV,FWD,3
BJBHBZBQT6J386548,SUV,4WD,4
BQF4UKW5KVG474674,SUV,RWD,1
BTDUIDGMG7U029512,SUV,4WD,2
COPRS63UGGH984959,SUV,4WD,2
CQ7SBSA7JFD966361,SUV,FWD,4
D44SOXOWG6K878614,SUV,AWD,4
D5B2TT8TOPO661297,SUV,FWD,4
DN6MOZGET1A930783,SUV,RWD,3
EZLHZ7DD2ZE033058,SUV,FWD,2
FRT45IU5U10388263,SUV,4WD,4
G3TV1J6XAGV702888,SUV,4WD,1
G4HBX46SPAS103801,SUV,AWD,4
GD0BFGM17AX836671,SUV,FWD,4
GJNRBGU63NL045645,SUV,AWD,2
GMKQULBE7X4992195,SUV,FWD,1
GO1G8UWZ6CC394395,SUV,FWD,4
GXF4VJG82KW841092,SUV,RWD,3
H05EDNWPRPP592467,SUV,RWD,4
H7YXEEZ5YBN321572,SUV,4WD,3
HZM5D0NLDRM399010,SUV,RWD,1
IH28F14QLL7256787,SUV,FWD,2
IKDJI2NJR3A634690,SUV,AWD,3
J6OFP8V1ZIU680463,SUV,AWD,4
J830SLTQBFU863672,SUV,RWD,2
JOWEZ54DY63622106,SUV,4WD,3
JYOF3P3XBEW904056,SUV,4WD,4
KEJEBILOGP8152100,SUV,AWD,4
KQNPAEA80G5480328,SUV,RWD,3
KRS3DYJP4LD943857,SUV,RWD,2
KSLB3XMCCOW534879,SUV,4WD,1
KTIZ8OU6F5U976916,SUV,4WD,2
KZO7LZXJXNR771606,SUV,RWD,3
LVJGFVH42ZP066968,SUV,RWD,3
MDSNOZYL2ZL732848,SUV,AWD,1
N8E3SF7HL4Q053617,SUV,FWD,1
NE8WFOV66CZ904500,SUV,AWD,2
O68UZR8AH8Z844182,SUV,AWD,3
OBZR6DDFFCD009341,SUV,FWD,2
OO1YC73Q4SY467607,SUV,FWD,3
P4QVR1UU2HK859570,SUV,FWD,3
PKYOLPHA18P242940,SUV,AWD,4
PPFD88BR0K2892279,SUV,AWD,1
PSTBCM0C2MV291539,SUV,FWD,1
PSUTDDZWZDP014734,SUV,4WD,4
QCAV3QS7EWD618783,SUV,4WD,2
QI80NK13N12893077,SUV,FWD,1
R3YIF8UZ4P1070425,SUV,FWD,4
R8UHBMX4TQI234223,SUV,RWD,1
RHVJT3TXHWL819894,SUV,4WD,4
RNH1F5LU2AW886758,SUV,FWD,4
S0IF4QEGMQI832765,SUV,RWD,4
S2N3CMXWZPV810214,SUV,AWD,3
SSK6RJETTAY507275,SUV,FWD,3
SSS7P1GXYA6831681,SUV,RWD,4
SYK3OZKA6FN066098,SUV,AWD,4
TOHM82154DP914803,SUV,RWD,3
U3Q7P5C8GZP868702,SUV,AWD,4
U3Z8TODSG28826809,SUV,AWD,4
UB0FCRJ4Q31126837,SUV,4WD,2
UHR044A6RAT399029,SUV,RWD,3
UNHJCJVVT0L007357,SUV,AWD,1
URGQRLDWJAO598363,SUV,AWD,4
UUPC35QW7DS635068,SUV,4WD,1
V7RRXZF3UDD625897,SUV,RWD,3
VLRKLTIXYIZ273737,SUV,4WD,3
VOO8ABE46Z0963128,SUV,RWD,1
VOQ56SWYWJB706872,SUV,FWD,1
W1RYVGXFD68971984,SUV,AWD,3
W2VUHN4XNA2086153,SUV,4WD,4
WW18EWD32UW766155,SUV,RWD,1
X20OKJA25ZI851267,SUV,RWD,3
XG6TUSMRKJ7859790,SUV,RWD,3
XQN1UDCTS1L283228,SUV,4WD,3
Y8H36PV2KE7172895,SUV,AWD,3
YAZCSXVG8FR318362,SUV,RWD,4
YHXRVAZZU61082434,SUV,AWD,2
YJ3Y7H3KJRI908228,SUV,4WD,3
YOFF7JGYY7O418558,SUV,RWD,1
Z0A37CJ5Q6J159776,SUV,AWD,3
Z7VWWWNUAXQ698054,SUV,RWD,1
ZX50RRJVFCP539257,SUV,FWD,4
ZZCURK8V4CR757611,SUV,FWD,4