00AIVKIDO01487633,Van,1
07TSE0YYIZF380247,Van,1
07W0YPOJ5ME337155,Van,1
0I0Q707FJ2E520815,Van,1
0T8OJLNDGOE809956,Van,1
222BHPCRR2U716446,Van,1
2JFUVPW8OEP241581,Van,0
2PLFCGV5R7I019543,Van,0
2PTE667K3PZ151997,Van,1
3856NH1QBEC536316,Van,0
41D7ZAIOT2O903612,Van,0
4M0LNVY3QN7194734,Van,1
4QJE0AIYWQG719639,Van,0
517DV0QLBFR999628,Van,0
5BYUV0G3UUI083209,Van,1
5T4361QO304945721,Van,0
6FEEUSROFOI436591,Van,1
6MEJXRJQ5O7025667,Van,1
6OT5NQTDYEP073810,Van,1
75VPS26W4QR001314,Van,0
7I0HJOT53IT807735,Van,0
7XKJRIZ0285479470,Van,0
AH0SCOKRL8K489145,Van,1
AIMDPZ2KMND734997,Van,1
AM7FZWLEUHK307952,Van,1
AQ0GIPZWT34903578,Van,0
AZ1R666ZIWS777011,Van,0
B4HYVLVNMCG170801,Van,0
BEE6XDILLEY125933,Van,1
BNWVPB0TCZ5369050,Van,1
DVKLB2SJQZ4928063,Van,0
DXWOU1SERL5871765,Van,1
E7IYDL7OWFB606746,Van,0
E7ONFGBD22A333203,Van,0
ESP5Z0140W6022687,Van,0
F1MEI0IF6FC764593,Van,1
FDMBXB0I4YT845555,Van,1
FH1HMJOS4ZT144716,Van,1
FHR4SV2BZ3O982607,Van,1
G76Q0Y2PH58423466,Van,0
GVPGI5Z60L1544905,Van,1
H5GMOZRUP8T165905,Van,0
H6IZE44IC6O731141,Van,0
HI8BNKPUAJE220277,Van,0
IMBUXHM60X6888380,Van,0
J4OTOP87QJC586997,Van,0
J55HPHW22R1754593,Van,1
JTQ8ES8FFQS897370,Van,1
KW7MS4N3N71094103,Van,0
LDAX8MS7ZMA980634,Van,1
LESQWAWRV7W196089,Van,1
LM8UDLK41OI479349,Van,1
LW4TX2CG6JA656800,Van,0
O4SAMHWK3TM537758,Van,0
O7G8N14WM0R109118,Van,1
OEA0E3LOO4W743479,Van,0
P17AFMQE3BI177849,Van,1
P1RZOQHCOAP558002,Van,1
QCOWM4RH6IR775623,Van,0
QE1021R78T0365667,Van,0
QJSZBIU41RZ000557,Van,0
QWYEUSHQPNE215410,Van,0
RAGZ5GF7O8T913064,Van,1
S4TI4IX70JJ322540,Van,0
SC4XXMXCD3O314777,Van,0
SHN7X1KFP65647255,Van,0
TFRBNINRQHD994300,Van,0
TGKSWOGJI2H650745,Van,1
TIGCC0J14W1049941,Van,1
UFZBV43FAC2764534,Van,1
UHC76PD8DA6169438,Van,1
UM0NVYDRPNQ372679,Van,0
V34AR0KQFXB030143,Van,1
WQBEI8L8OTJ787811,Van,0
XLE7HGMPN41742434,Van,1
XNCXSM3JPVX095298,Van,1
XW26GD4VYPB194891,Van,1
Y3YFDYEUPJ2715198,Van,0
Y8Z0KNDQWL2566444,Van,0
YBD4KM44KTR488107,Van,1
YQKTZSBESHS704350,Van,1
YR0BYZ2LKGR405349,Van,0
YVCC3OMTRFN440424,Van,0
YY8OSRCI6X0011928,Van,1
YYD1IOVV8LV476788,Van,0